date,precipitation,average_wind_speed,snowfall
2020-01-01,0.0,8.6,0.0
2020-01-02,0.0,5.4,0.0
2020-01-03,0.15,3.4,0.0
2020-01-04,0.27,4.4,0.0
2020-01-05,0.0,11.3,0.0
2020-01-06,0.04,6.1,0.2
2020-01-07,0.0,5.1,0.0
2020-01-08,0.0,9.7,0.0
2020-01-09,0.0,4.4,0.0
2020-01-10,0.0,6.3,0.0
2020-01-11,0.0,5.3,0.0
2020-01-12,0.05,8.8,0.0
2020-01-13,0.0,4.5,0.0
2020-01-14,0.07,3.8,0.0
2020-01-15,0.0,5.1,0.0
2020-01-16,0.11,10.2,0.0
2020-01-17,0.0,10.7,0.0
2020-01-18,0.37,5.0,2.1
2020-01-19,0.0,9.0,0.0
2020-01-20,0.0,7.8,0.0
2020-01-21,0.0,4.2,0.0
2020-01-22,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0
2020-01-25,0.85,0.0,0.0
2020-01-26,0.0,0.0,0.0
2020-01-27,0.0,6.3,0.0
2020-01-28,0.0,8.4,0.0
2020-01-29,0.0,6.8,0.0
2020-01-30,0.0,4.3,0.0
2020-01-31,0.02,3.8,0.0
2020-02-01,0.0,2.1,0.0
2020-02-02,0.07,5.0,0.0
2020-02-03,0.0,5.5,0.0
2020-02-04,0.0,3.3,0.0
2020-02-05,0.0,5.7,0.0
2020-02-06,0.51,7.0,0.0
2020-02-07,0.25,9.6,0.0
2020-02-08,0.0,7.3,0.0
2020-02-09,0.0,5.8,0.0
2020-02-10,0.37,6.2,0.0
2020-02-11,0.28,3.5,0.0
2020-02-12,0.13,5.4,0.0
2020-02-13,0.39,4.2,0.0
2020-02-14,0.0,7.3,0.0
2020-02-15,0.0,5.0,0.0
2020-02-16,0.0,5.5,0.0
2020-02-17,0.0,5.1,0.0
2020-02-18,0.0,6.2,0.0
2020-02-19,0.0,7.3,0.0
2020-02-20,0.0,5.9,0.0
2020-02-21,0.0,5.4,0.0
2020-02-22,0.0,6.2,0.0
2020-02-23,0.0,4.5,0.0
2020-02-24,0.0,2.9,0.0
2020-02-25,0.14,3.9,0.0
2020-02-26,0.0,7.2,0.0
2020-02-27,0.4,12.7,0.0
2020-02-28,0.0,9.8,0.0
2020-02-29,0.0,8.7,0.0
2020-03-01,0.0,6.1,0.0
2020-03-02,0.0,6.5,0.0
2020-03-03,0.26,6.1,0.0
2020-03-04,0.0,10.2,0.0
2020-03-05,0.0,5.4,0.0
2020-03-06,0.37,7.7,0.0
2020-03-07,0.0,7.6,0.0
2020-03-08,0.0,6.6,0.0
2020-03-09,0.0,7.4,0.0
2020-03-10,0.0,7.5,0.0
2020-03-11,0.0,4.6,0.0
2020-03-12,0.03,5.2,0.0
2020-03-13,0.26,8.8,0.0
2020-03-14,0.0,7.3,0.0
2020-03-15,0.0,6.3,0.0
2020-03-16,0.0,8.9,0.0
2020-03-17,0.16,4.3,0.0
2020-03-18,0.0,4.4,0.0
2020-03-19,0.93,4.7,0.0
2020-03-20,0.0,5.9,0.0
2020-03-21,0.0,7.8,0.0
2020-03-22,0.0,10.1,0.0
2020-03-23,1.16,9.1,0.0
2020-03-24,0.0,6.7,0.0
2020-03-25,0.01,9.9,0.0
2020-03-26,0.0,4.4,0.0
2020-03-27,0.0,4.9,0.0
2020-03-28,0.45,7.4,0.0
2020-03-29,0.05,11.6,0.0
2020-03-30,0.04,4.7,0.0
2020-03-31,0.06,6.8,0.0
2020-04-01,0.0,7.7,0.0
2020-04-02,0.0,9.4,0.0
2020-04-03,0.13,8.7,0.0
2020-04-04,0.02,4.2,0.0
2020-04-05,0.0,2.5,0.0
2020-04-06,0.07,5.9,0.0
2020-04-07,0.0,3.9,0.0
2020-04-08,0.2,3.7,0.0
2020-04-09,0.12,7.9,0.0
2020-04-10,0.01,10.1,0.0
2020-04-11,0.0,9.0,0.0
2020-04-12,0.0,5.7,0.0
2020-04-13,1.92,7.9,0.0
2020-04-14,0.0,6.3,0.0
2020-04-15,0.0,6.2,0.0
2020-04-16,0.0,9.1,0.0
2020-04-17,0.07,5.4,0.0
2020-04-18,0.22,5.7,0.0
2020-04-19,0.0,7.3,0.0
2020-04-20,0.0,4.6,0.0
2020-04-21,0.18,7.2,0.0
2020-04-22,0.0,8.1,0.0
2020-04-23,0.13,3.8,0.0
2020-04-24,0.48,7.2,0.0
2020-04-25,0.0,3.3,0.0
2020-04-26,0.22,10.5,0.0
2020-04-27,0.0,7.3,0.0
2020-04-28,0.0,3.7,0.0
2020-04-29,0.01,6.7,0.0
2020-04-30,0.71,9.1,0.0
2020-05-01,0.21,3.9,0.0
2020-05-02,0.0,6.1,0.0
2020-05-03,0.04,5.5,0.0
2020-05-04,0.0,5.9,0.0
2020-05-05,0.0,6.8,0.0
2020-05-06,0.06,5.5,0.0
2020-05-07,0.0,6.0,0.0
2020-05-08,0.45,4.3,0.0
2020-05-09,0.03,9.0,0.0
2020-05-10,0.0,7.4,0.0
2020-05-11,0.05,5.7,0.0
2020-05-12,0.0,7.8,0.0
2020-05-13,0.0,5.3,0.0
2020-05-14,0.0,2.3,0.0
2020-05-15,0.07,4.8,0.0
2020-05-16,0.01,3.9,0.0
2020-05-17,0.0,3.2,0.0
2020-05-18,0.0,0.0,0.0
2020-05-19,0.0,0.0,0.0
2020-05-20,0.0,0.0,0.0
2020-05-21,0.0,0.0,0.0
2020-05-22,0.03,0.0,0.0
2020-05-23,0.65,0.0,0.0
2020-05-24,0.0,0.0,0.0
2020-05-25,0.0,0.0,0.0
2020-05-26,0.0,0.0,0.0
2020-05-27,0.0,0.0,0.0
2020-05-28,0.0,0.0,0.0
2020-05-29,0.03,0.0,0.0
2020-05-30,0.02,0.0,0.0
2020-05-31,0.0,0.0,0.0
2020-06-01,0.0,0.0,0.0
2020-06-02,0.0,0.0,0.0
2020-06-03,0.45,0.0,0.0
2020-06-04,0.16,0.0,0.0
2020-06-05,0.26,0.0,0.0
2020-06-06,0.06,0.0,0.0
2020-06-07,0.0,0.0,0.0
2020-06-08,0.0,0.0,0.0
2020-06-09,0.0,0.0,0.0
2020-06-10,0.0,0.0,0.0
2020-06-11,0.05,0.0,0.0
2020-06-12,0.0,0.0,0.0
2020-06-13,0.0,0.0,0.0
2020-06-14,0.0,0.0,0.0
2020-06-15,0.0,0.0,0.0
2020-06-16,0.0,0.0,0.0
2020-06-17,0.0,0.0,0.0
2020-06-18,0.0,0.0,0.0
2020-06-19,0.0,2.5,0.0
2020-06-20,0.0,1.8,0.0
2020-06-21,0.0,2.5,0.0
2020-06-22,0.0,2.9,0.0
2020-06-23,0.0,2.5,0.0
2020-06-24,0.0,4.2,0.0
2020-06-25,0.0,2.9,0.0
2020-06-26,0.0,3.5,0.0
2020-06-27,0.09,2.7,0.0
2020-06-28,0.11,2.3,0.0
2020-06-29,0.58,3.4,0.0
2020-06-30,0.0,3.2,0.0
2020-07-01,0.03,2.3,0.0
2020-07-02,0.0,3.3,0.0
2020-07-03,0.13,3.6,0.0
2020-07-04,0.0,4.5,0.0
2020-07-05,0.0,2.4,0.0
2020-07-06,0.54,2.8,0.0
2020-07-07,0.0,4.3,0.0
2020-07-08,0.02,2.5,0.0
2020-07-09,0.0,2.6,0.0
2020-07-10,2.54,7.1,0.0
2020-07-11,0.76,3.3,0.0
2020-07-12,0.04,4.8,0.0
2020-07-13,0.02,4.1,0.0
2020-07-14,0.0,4.7,0.0
2020-07-15,0.0,5.8,0.0
2020-07-16,0.0,3.7,0.0
2020-07-17,0.03,2.0,0.0
2020-07-18,0.0,1.4,0.0
2020-07-19,0.0,4.2,0.0
2020-07-20,0.0,3.9,0.0
2020-07-21,0.0,1.8,0.0
2020-07-22,1.42,2.9,0.0
2020-07-23,0.0,4.4,0.0
2020-07-24,0.19,3.1,0.0
2020-07-25,0.0,3.7,0.0
2020-07-26,0.0,5.4,0.0
2020-07-27,0.0,5.2,0.0
2020-07-28,0.0,4.6,0.0
2020-07-29,0.0,1.6,0.0
2020-07-30,0.08,3.0,0.0
2020-07-31,0.78,1.5,0.0
2020-08-01,0.0,2.2,0.0
2020-08-02,0.0,4.1,0.0
2020-08-03,0.54,4.5,0.0
2020-08-04,0.55,7.1,0.0
2020-08-05,0.0,4.3,0.0
2020-08-06,0.0,2.2,0.0
2020-08-07,0.46,4.1,0.0
2020-08-08,0.0,2.4,0.0
2020-08-09,0.0,3.5,0.0
2020-08-10,0.0,4.6,0.0
2020-08-11,0.0,3.4,0.0
2020-08-12,1.76,2.4,0.0
2020-08-13,0.24,2.0,0.0
2020-08-14,0.0,5.7,0.0
2020-08-15,0.0,6.2,0.0
2020-08-16,0.21,7.9,0.0
2020-08-17,0.14,2.4,0.0
2020-08-18,0.2,2.8,0.0
2020-08-19,0.14,3.1,0.0
2020-08-20,0.0,3.1,0.0
2020-08-21,0.0,6.0,0.0
2020-08-22,0.0,4.1,0.0
2020-08-23,0.0,2.4,0.0
2020-08-24,0.0,3.2,0.0
2020-08-25,0.36,5.5,0.0
2020-08-26,0.0,6.2,0.0
2020-08-27,0.42,3.6,0.0
2020-08-28,0.0,3.5,0.0
2020-08-29,0.01,4.2,0.0
2020-08-30,0.0,7.7,0.0
2020-08-31,0.0,3.3,0.0
2020-09-01,0.23,3.9,0.0
2020-09-02,0.14,2.9,0.0
2020-09-03,0.71,3.0,0.0
2020-09-04,0.0,4.5,0.0
2020-09-05,0.0,3.7,0.0
2020-09-06,0.0,3.5,0.0
2020-09-07,0.0,2.5,0.0
2020-09-08,0.0,2.1,0.0
2020-09-09,0.0,2.5,0.0
2020-09-10,1.2,2.7,0.0
2020-09-11,0.0,5.5,0.0
2020-09-12,0.0,5.3,0.0
2020-09-13,0.0,2.9,0.0
2020-09-14,0.0,5.0,0.0
2020-09-15,0.0,3.8,0.0
2020-09-16,0.0,2.7,0.0
2020-09-17,0.0,2.0,0.0
2020-09-18,0.0,8.2,0.0
2020-09-19,0.0,7.0,0.0
2020-09-20,0.0,6.4,0.0
2020-09-21,0.0,4.6,0.0
2020-09-22,0.0,3.8,0.0
2020-09-23,0.0,5.1,0.0
2020-09-24,0.0,2.7,0.0
2020-09-25,0.0,2.0,0.0
2020-09-26,0.0,3.0,0.0
2020-09-27,0.03,2.6,0.0
2020-09-28,0.02,3.0,0.0
2020-09-29,0.47,3.7,0.0
2020-09-30,1.14,6.2,0.0
2020-10-01,0.0,3.9,0.0
2020-10-02,0.04,3.9,0.0
2020-10-03,0.0,4.4,0.0
2020-10-04,0.0,4.1,0.0
2020-10-05,0.0,2.6,0.0
2020-10-06,0.0,3.2,0.0
2020-10-07,0.02,8.2,0.0
2020-10-08,0.0,7.9,0.0
2020-10-09,0.0,2.5,0.0
2020-10-10,0.0,6.0,0.0
2020-10-11,0.0,5.8,0.0
2020-10-12,0.96,8.7,0.0
2020-10-13,0.34,6.2,0.0
2020-10-14,0.0,4.3,0.0
2020-10-15,0.0,4.7,0.0
2020-10-16,1.36,4.4,0.0
2020-10-17,0.01,3.5,0.0
2020-10-18,0.0,3.8,0.0
2020-10-19,0.0,2.5,0.0
2020-10-20,0.0,1.5,0.0
2020-10-21,0.0,1.4,0.0
2020-10-22,0.0,0.8,0.0
2020-10-23,0.0,1.2,0.0
2020-10-24,0.0,4.4,0.0
2020-10-25,0.02,5.8,0.0
2020-10-26,0.02,4.1,0.0
2020-10-27,0.0,3.0,0.0
2020-10-28,0.11,2.7,0.0
2020-10-29,1.53,9.0,0.0
2020-10-30,0.64,7.5,0.0
2020-10-31,0.0,2.7,0.0
2020-11-01,0.4,5.9,0.0
2020-11-02,0.0,10.5,0.0
2020-11-03,0.0,8.7,0.0
2020-11-04,0.0,3.4,0.0
2020-11-05,0.0,4.1,0.0
2020-11-06,0.0,4.7,0.0
2020-11-07,0.0,3.5,0.0
2020-11-08,0.0,1.8,0.0
2020-11-09,0.0,1.4,0.0
2020-11-10,0.0,5.1,0.0
2020-11-11,0.78,3.0,0.0
2020-11-12,0.24,6.6,0.0
2020-11-13,0.19,4.0,0.0
2020-11-14,0.0,4.6,0.0
2020-11-15,0.07,7.3,0.0
2020-11-16,0.0,6.7,0.0
2020-11-17,0.0,7.2,0.0
2020-11-18,0.0,9.1,0.0
2020-11-19,0.0,5.1,0.0
2020-11-20,0.0,6.0,0.0
2020-11-21,0.0,4.3,0.0
2020-11-22,0.0,7.5,0.0
2020-11-23,0.54,7.3,0.0
2020-11-24,0.0,5.7,0.0
2020-11-25,0.0,3.8,0.0
2020-11-26,0.79,4.6,0.0
2020-11-27,0.0,3.3,0.0
2020-11-28,0.0,4.8,0.0
2020-11-29,0.0,2.3,0.0
2020-11-30,0.98,6.2,0.0
2020-12-01,0.0,5.8,0.0
2020-12-02,0.0,10.4,0.0
2020-12-03,0.0,6.7,0.0
2020-12-04,0.11,4.8,0.0
2020-12-05,1.02,8.7,0.0
2020-12-06,0.0,10.7,0.0
2020-12-07,0.0,6.1,0.0
2020-12-08,0.0,8.4,0.0
2020-12-09,0.05,6.4,0.0
2020-12-10,0.0,6.3,0.0
2020-12-11,0.0,3.5,0.0
2020-12-12,0.0,3.8,0.0
2020-12-13,0.0,6.9,0.0
2020-12-14,0.26,4.4,0.0
2020-12-15,0.0,7.7,0.0
2020-12-16,0.86,11.1,6.5
2020-12-17,0.66,9.3,4.0
2020-12-18,0.0,6.5,0.0
2020-12-19,0.0,3.0,0.0
2020-12-20,0.01,2.2,0.0
2020-12-21,0.0,3.5,0.0
2020-12-22,0.0,6.9,0.0
2020-12-23,0.0,5.0,0.0
2020-12-24,0.24,8.6,0.0
2020-12-25,0.92,10.4,0.0
2020-12-26,0.0,9.3,0.0
2020-12-27,0.0,4.1,0.0
2020-12-28,0.0,5.3,0.0
2020-12-29,0.0,8.9,0.0
2020-12-30,0.0,5.1,0.0
2020-12-31,0.48,5.1,0.0
2023-01-01,0.0,4.9,0.0
2023-01-02,0.02,3.5,0.0
2023-01-03,0.42,3.2,0.0
2023-01-04,0.02,4.5,0.0
2023-01-05,0.01,5.2,0.0
2023-01-06,0.27,5.4,0.0
2023-01-07,0.0,6.7,0.0
2023-01-08,0.0,4.6,0.0
2023-01-09,0.01,4.4,0.0
2023-01-10,0.0,4.3,0.0
2023-01-11,0.0,6.5,0.0
2023-01-12,0.3,4.9,0.0
2023-01-13,0.09,7.2,0.0
2023-01-14,0.0,9.0,0.0
2023-01-15,0.0,9.6,0.0
2023-01-16,0.0,7.6,0.0
2023-01-17,0.0,3.1,0.0
2023-01-18,0.05,7.7,0.0
2023-01-19,0.87,4.2,0.0
2023-01-20,0.0,6.7,0.0
2023-01-21,0.0,5.5,0.0
2023-01-22,0.51,4.6,0.0
2023-01-23,0.41,7.6,0.0
2023-01-24,0.0,7.0,0.0
2023-01-25,0.9,6.1,0.0
2023-01-26,0.44,8.9,0.0
2023-01-27,0.0,5.7,0.0
2023-01-28,0.0,7.2,0.0
2023-01-29,0.0,4.6,0.0
2023-01-30,0.0,2.9,0.0
2023-01-31,0.06,4.3,0.0
2023-02-01,0.02,5.6,0.4
2023-02-02,0.0,4.9,0.0
2023-02-03,0.0,11.8,0.0
2023-02-04,0.0,8.7,0.0
2023-02-05,0.0,3.6,0.0
2023-02-06,0.0,5.0,0.0
2023-02-07,0.02,4.9,0.0
2023-02-08,0.0,6.1,0.0
2023-02-09,0.0,3.6,0.0
2023-02-10,0.0,8.4,0.0
2023-02-11,0.0,5.9,0.0
2023-02-12,0.01,4.3,0.0
2023-02-13,0.0,7.4,0.0
2023-02-14,0.0,5.6,0.0
2023-02-15,0.0,4.5,0.0
2023-02-16,0.07,3.6,0.0
2023-02-17,0.18,7.2,0.0
2023-02-18,0.0,8.2,0.0
2023-02-19,0.0,3.4,0.0
2023-02-20,0.0,6.0,0.0
2023-02-21,0.27,4.8,0.0
2023-02-22,0.14,6.0,0.0
2023-02-23,0.02,7.3,0.0
2023-02-24,0.0,8.8,0.0
2023-02-25,0.0,3.5,0.0
2023-02-26,0.0,5.4,0.0
2023-02-27,0.21,5.1,0.9
2023-02-28,0.34,5.6,0.9
2023-03-01,0.0,5.9,0.0
2023-03-02,0.0,5.6,0.0
2023-03-03,0.15,5.7,0.0
2023-03-04,0.99,8.1,0.0
2023-03-05,0.0,8.0,0.0
2023-03-06,0.0,5.4,0.0
2023-03-07,0.06,10.7,0.1
2023-03-08,0.0,8.5,0.0
2023-03-09,0.0,7.8,0.0
2023-03-10,0.36,3.9,0.0
2023-03-11,0.4,8.2,0.0
2023-03-12,0.0,4.2,0.0
2023-03-13,0.67,7.1,0.0
2023-03-14,0.13,10.3,0.0
2023-03-15,0.0,13.0,0.0
2023-03-16,0.0,6.2,0.0
2023-03-17,0.0,3.4,0.0
2023-03-18,0.02,6.9,0.0
2023-03-19,0.0,8.8,0.0
2023-03-20,0.0,4.8,0.0
2023-03-21,0.0,5.8,0.0
2023-03-22,0.0,3.6,0.0
2023-03-23,0.09,4.7,0.0
2023-03-24,0.0,5.1,0.0
2023-03-25,0.15,8.0,0.0
2023-03-26,0.0,6.1,0.0
2023-03-27,0.29,5.7,0.0
2023-03-28,0.0,4.1,0.0
2023-03-29,0.0,5.8,0.0
2023-03-30,0.01,7.3,0.0
2023-03-31,0.0,2.4,0.0
2023-04-01,0.38,4.9,0.0
2023-04-02,0.0,9.2,0.0
2023-04-03,0.0,4.4,0.0
2023-04-04,0.0,1.8,0.0
2023-04-05,0.0,8.4,0.0
2023-04-06,0.0,3.1,0.0
2023-04-07,0.0,8.0,0.0
2023-04-08,0.0,3.4,0.0
2023-04-09,0.0,4.2,0.0
2023-04-10,0.0,5.2,0.0
2023-04-11,0.0,5.9,0.0
2023-04-12,0.0,5.5,0.0
2023-04-13,0.0,5.5,0.0
2023-04-14,0.0,3.4,0.0
2023-04-15,0.02,3.5,0.0
2023-04-16,0.0,3.0,0.0
2023-04-17,0.0,5.8,0.0
2023-04-18,0.0,7.2,0.0
2023-04-19,0.0,5.8,0.0
2023-04-20,0.0,2.7,0.0
2023-04-21,0.0,5.1,0.0
2023-04-22,0.68,7.2,0.0
2023-04-23,1.51,5.5,0.0
2023-04-24,0.0,4.1,0.0
2023-04-25,0.0,2.5,0.0
2023-04-26,0.0,2.4,0.0
2023-04-27,0.0,3.2,0.0
2023-04-28,0.33,6.7,0.0
2023-04-29,2.46,8.4,0.0
2023-04-30,2.32,6.9,0.0
2023-05-01,0.09,7.0,0.0
2023-05-02,0.25,4.5,0.0
2023-05-03,0.0,3.2,0.0
2023-05-04,0.05,3.8,0.0
2023-05-05,0.0,1.9,0.0
2023-05-06,0.0,2.8,0.0
2023-05-07,0.02,2.8,0.0
2023-05-08,0.0,4.7,0.0
2023-05-09,0.0,2.8,0.0
2023-05-10,0.0,2.0,0.0
2023-05-11,0.0,3.8,0.0
2023-05-12,0.0,2.9,0.0
2023-05-13,0.0,2.9,0.0
2023-05-14,0.0,6.2,0.0
2023-05-15,0.0,3.7,0.0
2023-05-16,0.0,5.2,0.0
2023-05-17,0.0,5.9,0.0
2023-05-18,0.0,4.3,0.0
2023-05-19,0.0,2.3,0.0
2023-05-20,0.77,2.8,0.0
2023-05-21,0.02,4.7,0.0
2023-05-22,0.0,2.6,0.0
2023-05-23,0.0,3.0,0.0
2023-05-24,0.08,2.6,0.0
2023-05-25,0.0,7.3,0.0
2023-05-26,0.0,3.3,0.0
2023-05-27,0.0,3.3,0.0
2023-05-28,0.0,2.3,0.0
2023-05-29,0.0,5.4,0.0
2023-05-30,0.0,4.9,0.0
2023-05-31,0.0,2.3,0.0
2023-06-01,0.0,1.8,0.0
2023-06-02,0.24,2.0,0.0
2023-06-03,0.0,7.7,0.0
2023-06-04,0.0,5.8,0.0
2023-06-05,0.0,3.0,0.0
2023-06-06,0.0,3.9,0.0
2023-06-07,0.0,5.0,0.0
2023-06-08,0.0,2.6,0.0
2023-06-09,0.0,3.9,0.0
2023-06-10,0.0,3.9,0.0
2023-06-11,0.01,0.9,0.0
2023-06-12,0.3,2.9,0.0
2023-06-13,0.0,5.0,0.0
2023-06-14,0.14,3.8,0.0
2023-06-15,0.0,5.2,0.0
2023-06-16,0.23,2.7,0.0
2023-06-17,0.0,4.5,0.0
2023-06-18,0.0,4.4,0.0
2023-06-19,0.0,3.8,0.0
2023-06-20,0.0,5.4,0.0
2023-06-21,0.0,10.4,0.0
2023-06-22,0.0,8.7,0.0
2023-06-23,0.04,3.2,0.0
2023-06-24,0.07,0.7,0.0
2023-06-25,0.0,1.5,0.0
2023-06-26,0.51,4.0,0.0
2023-06-27,0.08,1.6,0.0
2023-06-28,0.0,3.8,0.0
2023-06-29,0.0,2.4,0.0
2023-06-30,0.0,1.8,0.0
2023-07-01,0.0,2.5,0.0
2023-07-02,0.58,2.3,0.0
2023-07-03,0.45,2.7,0.0
2023-07-04,0.63,0.6,0.0
2023-07-05,0.0,1.7,0.0
2023-07-06,0.0,1.4,0.0
2023-07-07,0.0,0.7,0.0
2023-07-08,0.0,3.0,0.0
2023-07-09,0.98,1.7,0.0
2023-07-10,0.0,3.7,0.0
2023-07-11,0.0,2.9,0.0
2023-07-12,0.0,3.2,0.0
2023-07-13,0.0,2.4,0.0
2023-07-14,0.48,4.5,0.0
2023-07-15,0.04,1.5,0.0
2023-07-16,1.32,1.6,0.0
2023-07-17,0.0,2.6,0.0
2023-07-18,0.22,1.4,0.0
2023-07-19,0.0,1.3,0.0
2023-07-20,0.0,2.6,0.0
2023-07-21,0.15,3.1,0.0
2023-07-22,0.0,3.1,0.0
2023-07-23,0.0,1.5,0.0
2023-07-24,0.0,3.2,0.0
2023-07-25,0.28,3.0,0.0
2023-07-26,0.0,2.0,0.0
2023-07-27,0.15,4.9,0.0
2023-07-28,0.0,2.4,0.0
2023-07-29,0.06,5.1,0.0
2023-07-30,0.0,4.7,0.0
2023-07-31,0.0,3.0,0.0
2023-08-01,0.0,4.7,0.0
2023-08-02,0.0,2.9,0.0
2023-08-03,0.0,3.1,0.0
2023-08-04,0.0,2.7,0.0
2023-08-05,0.0,3.3,0.0
